fluid,T_inj,T_geo,x_steam,m_geo,cooling_fluid,T_amb,P_amb,dT_cd,dT_pp_evap,dT_pp_cond,dT_ap_pre,p_evap_opt,net_power_opt,T_injection_opt,p_ratio_crit,T_turbine_in,T_preheater_out,m_workingfluid,preheater_ttd_min,evap_steam_pinch,evap_brine_pinch,thermal_efficiency,p_lo,p_hi,constrained,CV
n-Pentane,65,140.0,0.1,180,air,15,0.6,15,10,10,5,10.253098259279495,10.895386722698564,86.21289888819831,0.3044703912674519,126.15659578908253,121.1565957890835,161.317656660643,10.850456243666429,13.84340421081265,10.0,0.13686893725576474,5.051,10.627,True,0.0
n-Pentane,65,160.0,0.1,180,air,15,0.6,15,10,10,5,13.45659308175273,14.37268049111914,83.88198971773386,0.3995996192682595,140.57485511672706,135.5748551167261,186.07719111464687,11.408603821016868,19.425144883502014,10.0,0.1501132122178851,5.051,15.371,True,0.0
n-Pentane,65,150.0,0.1,180,air,15,0.6,15,10,10,5,11.682194861075693,12.538242291091452,85.35900184966522,0.34690806137502883,132.95133897310654,127.95133897310728,173.6088361830038,11.170823109721084,17.048661026833884,10.0,0.14341236199931817,5.051,12.836,True,0.0
n-Pentane,65,190.0,0.1,180,air,15,0.6,15,10,10,5,25.288999999998534,22.39844054671548,69.39914186434942,0.750968295636252,178.00109023169364,173.00109023170148,231.44471590034604,10.65599410951512,11.998909768222234,10.0,0.17435611066020532,5.051,25.289,True,0.0
n-Pentane,65,170.0,0.1,180,air,15,0.6,15,10,10,5,15.851017494193986,16.452563873564507,81.77922083305742,0.4707031354231469,149.7513939158394,144.7513939158382,198.41844759838307,11.490398656451703,20.248606084072435,10.0,0.1573454584267489,5.051,18.265,True,0.0
n-Pentane,65,180.0,0.1,180,air,15,0.6,15,10,10,5,20.213315865986523,18.914912911770113,79.82859739069119,0.6002435590587999,164.0745453927317,159.07454539273067,208.29940229938978,11.053076287772,15.925454607340725,10.0,0.1669486952448636,5.051,21.555,True,0.0
n-Pentane,75,140.0,0.1,180,air,15,0.6,15,10,10,5,10.253097471705239,10.895386722698635,86.21289584905225,0.3044703678800781,126.15659185574356,121.15659185574225,161.31766326171083,10.850456638428,13.843408144151624,10.0,0.13686893330422314,5.051,10.627,True,0.0
n-Pentane,75,150.0,0.1,180,air,15,0.6,15,10,10,5,11.682192995087153,12.538242291091647,85.35899555957604,0.34690800596365495,132.9513305158718,127.95133051587243,173.60884990496007,11.170823960126938,17.048669484068625,10.0,0.14341235419850226,5.051,12.836,True,0.0
n-Pentane,75,160.0,0.1,180,air,15,0.6,15,10,10,5,13.456592975126542,14.372680491119263,83.8819894106648,0.39959961610194655,140.5748546818112,135.57485468181102,186.07719178649663,11.408603864831548,19.42514531841789,10.0,0.15011321185402907,5.051,15.371,True,0.0
n-Pentane,75,170.0,0.1,180,air,15,0.6,15,10,10,5,15.851014951008452,16.45256387356386,81.7792148530499,0.47070305990210193,149.7513847401305,144.7513847401293,198.41846066310515,11.490399582239206,20.24861525978133,10.0,0.15734545162922203,5.051,18.265,True,0.0
