fluid,T_inj,T_geo,x_steam,m_geo,cooling_fluid,T_amb,P_amb,p_evap_opt,net_power_opt,T_injection_opt,constrained,CV
n-Pentane,70,160.0,0.1,180,air,15,0.6,15.919999999999952,13.585351722915751,94.8464440932479,True,0.0
n-Pentane,70,170.0,0.1,180,air,15,0.6,18.88999999999998,15.754717509793887,91.8182390400554,True,0.0
n-Pentane,70,150.0,0.1,180,air,15,0.6,13.319999999999968,11.782557260363276,95.11136826747725,True,0.0
n-Pentane,70,200.0,0.1,180,air,15,0.6,26.729999999999997,23.4921027492571,70.71421066237656,True,0.0
n-Pentane,70,180.0,0.1,180,air,15,0.6,22.25999999999996,18.586915755042234,83.8403146242951,True,0.0
n-Pentane,70,190.0,0.1,180,air,15,0.6,25.55615941089446,22.144235138864577,69.990521270312,True,0.0
n-Pentane,70,220.0,0.1,180,air,15,0.6,26.729999999999926,22.53718842388557,97.62930935670516,True,0.0
n-Pentane,70,210.0,0.1,180,air,15,0.6,26.729999999999983,23.027195482091383,84.05247095682648,True,0.0
n-Pentane,70,230.0,0.1,180,air,15,0.6,26.729999999999954,22.01958005204038,111.45269136201324,True,0.0
n-Pentane,100,150.0,0.1,180,air,15,0.6,12.147297848325941,10.89373032031011,99.99749335258969,True,0.0
n-Pentane,100,160.0,0.1,180,air,15,0.6,14.761933166084447,12.69718810696736,99.99663458661178,True,0.0
n-Pentane,100,170.0,0.1,180,air,15,0.6,17.250475226959672,14.412781154702548,100.00525724530934,True,0.0
n-Pentane,100,180.0,0.1,180,air,15,0.6,19.55156434827603,16.0586634376854,100.00641016772965,True,0.0
n-Pentane,100,190.0,0.1,180,air,15,0.6,21.632116454854724,17.649170511037834,100.00535932483291,True,0.0
n-Pentane,100,200.0,0.1,180,air,15,0.6,23.480655076851278,19.195712530562492,99.99685168950981,True,0.0
n-Pentane,100,230.0,0.1,180,air,15,0.6,26.729999999999947,22.019580052040286,111.45442002176429,True,0.0
n-Pentane,100,210.0,0.1,180,air,15,0.6,25.101123779051854,20.707949411283984,100.00053822067343,True,0.0
n-Pentane,100,220.0,0.1,180,air,15,0.6,26.506421715145507,22.193387857466,99.99250729187537,True,0.0
Isopentane,70,150.0,0.1,180,air,15,0.6,15.72,12.266893578534333,88.61342222442573,True,0.0
Isopentane,70,160.0,0.1,180,air,15,0.6,18.679999999999996,14.361190721272406,85.58370777245165,True,0.0
Isopentane,70,170.0,0.1,180,air,15,0.6,22.04999999999996,17.067711768531755,77.73320419185615,True,0.0
Isopentane,70,200.0,0.1,180,air,15,0.6,26.78999999999998,21.634330954707362,75.64291673966869,True,0.0
Isopentane,70,180.0,0.1,180,air,15,0.6,24.727284356435796,19.62491845174795,69.99215372550282,True,0.0
